指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣友善環境指數,"4,705.04",+,24.72,0.53,
台灣永續價值指數,"4,403.97",+,16.97,0.39,
特選臺灣IC設計指數,"3,397.63",+,118.56,3.62,
特選臺灣環境永續高股息指數,"4,491.07",+,13.15,0.29,
臺灣友善環境50指數,"4,054.52",+,43.31,1.08,
特選台灣策略高股息30指數,"4,020.31",-,9.52,-0.24,
特選臺灣IC設計產業代表指數,"4,193.14",+,113.14,2.77,
特選臺灣綠能指數,"5,065.19",-,69.51,-1.35,
特選臺灣成長高股息指數,"4,312.05",+,40.16,0.94,
特選臺灣智慧50指數,"3,984.22",+,43.14,1.09,
特選臺灣標竿PCB指數,"3,625.14",+,21.72,0.60,
臺灣晶圓製造指數,"4,735.67",+,87.52,1.88,
臺灣精選高息指數,"4,138.38",+,18.55,0.45,
臺灣多因子優選高股息30指數,"5,044.17",-,22.71,-0.45,
特選臺灣優利高填息30指數,"4,793.24",-,12.79,-0.27,
臺灣多因子優選成長30指數,"5,729.24",+,41.28,0.73,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"26,893.18",-,331.21,-1.22,
金融類日報酬反向一倍指數,"4,875.42",+,29.48,0.61,
漲升股利150指數,"8,139.02",-,25.56,-0.31,
藍籌30指數,"7,682.19",+,111.04,1.47,
工業菁英30指數,"8,248.79",+,140.81,1.74,
電子菁英30指數,"8,222.43",+,66.27,0.81,
低波動股利精選30指數,"6,504.76",-,21.36,-0.33,
中小型A級動能50指數,"14,525.84",-,26.86,-0.18,
特選高息低波指數,"6,843.94",-,20.51,-0.30,
臺灣永續指數,"7,916.42",+,70.86,0.90,
價值投資指數,"6,239.06",+,31.74,0.51,
存股雙十等權重指數,"7,098.89",+,1.87,0.03,
特選大蘋果指數,"6,872.98",+,30.21,0.44,
中小型300指數,"8,892.03",-,11.79,-0.13,
特股高息20指數,"5,837.47",-,11.82,-0.20,
臺灣500指數,"8,028.80",+,44.51,0.56,
臺灣勞工權益指數,"7,328.53",-,37.97,-0.52,
微波高息精選20指數,"6,370.72",-,37.06,-0.58,
特選世代行動通訊指數,"6,200.08",+,89.65,1.47,
智慧投資多因子30指數,"5,011.20",+,20.53,0.41,
臺股期貨指數,"8,228.07",+,1.06,0.01,
特選價值成長指數,"6,874.38",-,49.78,-0.72,
臺灣上櫃永續指數,"6,255.84",+,40.04,0.64,
特選台股領航指數,"6,932.10",+,126.89,1.86,
特選Smart多因子指數,"5,846.92",+,59.82,1.03,
特選ESG高股息指數,"4,350.59",+,102.60,2.42,
特選上櫃ESG成長指數,"4,428.36",+,30.25,0.69,
特選上櫃ESG電子菁英指數,"4,531.91",+,34.86,0.78,
臺灣優息存股指數,"4,804.68",-,55.40,-1.14,
特選上櫃ESG永續高股息指數,"6,174.44",+,7.38,0.12,
特選臺灣金融高股息存股指數,"5,021.89",-,31.73,-0.63,
特選臺灣產業龍頭存股等權重指數,"5,611.98",-,34.77,-0.62,
上櫃ESG 30指數,"5,750.07",+,32.01,0.56,
臺灣ESG低碳50指數,"5,235.21",+,74.39,1.44,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"25,046.68",+,150.47,0.60,
發行量加權股價報酬指數,"32,426.08",+,196.88,0.61,
臺灣公司治理100報酬指數,"12,236.89",+,108.28,0.89,
臺灣50報酬指數,"25,068.04",+,327.44,1.32,
臺灣50權重上限30%報酬指數,"23,890.14",+,251.40,1.06,
臺灣中型100報酬指數,"26,982.93",-,109.32,-0.40,
臺灣資訊科技股報酬指數,"41,055.14",+,808.06,2.01,
臺灣發達報酬指數,"19,188.10",-,240.39,-1.24,
臺灣高股息報酬指數,"17,873.87",+,32.51,0.18,
臺灣就業99報酬指數,"14,912.36",-,18.14,-0.12,
臺灣高薪100報酬指數,"12,246.66",+,18.99,0.16,
未含金融電子報酬指數,"31,922.53",-,295.89,-0.92,
小型股300報酬指數,"11,690.86",-,26.27,-0.22,
水泥類報酬指數,337.13,-,9.05,-2.61,
食品類報酬指數,"2,931.30",-,6.12,-0.21,
塑膠類報酬指數,450.90,-,4.61,-1.01,
紡織纖維類報酬指數,956.57,-,3.48,-0.36,
電機機械類報酬指數,397.11,+,3.29,0.84,
電器電纜類報酬指數,176.42,-,13.61,-7.16,
化學生技醫療類報酬指數,194.64,-,1.36,-0.69,
化學類報酬指數,228.96,-,2.48,-1.07,
生技醫療類報酬指數,108.97,-,0.39,-0.36,
玻璃陶瓷類報酬指數,75.04,-,2.08,-2.70,
造紙類報酬指數,490.07,-,4.22,-0.85,
鋼鐵類報酬指數,246.34,-,5.90,-2.34,
橡膠類報酬指數,383.77,-,2.48,-0.64,
汽車類報酬指數,558.46,-,2.91,-0.52,
電子工業類報酬指數,"1,381.18",+,21.14,1.55,
半導體類報酬指數,628.44,+,14.62,2.38,
電腦及週邊設備類報酬指數,296.48,-,0.80,-0.27,
光電類報酬指數,52.19,-,0.41,-0.78,
通信網路類報酬指數,273.16,-,0.61,-0.22,
電子零組件類報酬指數,303.61,+,1.41,0.47,
電子通路類報酬指數,430.10,-,0.58,-0.13,
資訊服務類報酬指數,323.71,+,4.78,1.50,
其他電子類報酬指數,159.72,+,1.78,1.13,
建材營造類報酬指數,732.80,-,2.94,-0.40,
航運類報酬指數,265.67,-,3.07,-1.14,
觀光類報酬指數,201.21,-,1.59,-0.78,
金融保險類報酬指數,"2,712.28",-,16.59,-0.61,
貿易百貨類報酬指數,462.02,-,1.48,-0.32,
油電燃氣類報酬指數,174.48,-,2.84,-1.60,
其他類報酬指數,631.86,+,0.34,0.05,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"5,017.52",-,7.01,-0.14,
臺灣中小型公司治理報酬指數,"9,882.53",+,59.28,0.60,
臺灣IPO報酬指數,"6,139.33",+,20.74,0.34,
智慧中立報酬指數,"3,997.63",+,15.85,0.40,
加權指數掩護性臺指買權價外5%報酬指數,"6,617.90",+,42.54,0.65,
臺灣5G報酬指數,"8,857.89",+,197.95,2.29,
臺灣企業社會責任中小型報酬指數,"9,954.74",-,0.75,-0.01,
特選臺灣電動車代表報酬指數,"6,642.34",-,17.13,-0.26,
臺灣5G+通訊報酬指數,"6,438.95",+,129.62,2.05,
臺灣全市場報酬指數,"5,725.29",+,45.73,0.81,
臺灣全市場半導體報酬指數,"5,668.17",+,147.79,2.68,
臺灣智慧移動與電動車報酬指數,"4,424.78",+,75.43,1.73,
特選小資高價30報酬指數,"5,340.78",+,123.04,2.36,
特選臺灣綠能及電動車報酬指數,"5,074.95",+,20.41,0.40,
特選臺灣智能車供應鏈聯盟報酬指數,"4,773.54",+,72.15,1.53,
臺灣全市場半導體精選30報酬指數,"4,430.76",+,122.24,2.84,
特選臺灣高股息30報酬指數,"4,677.93",+,21.51,0.46,
臺灣友善環境報酬指數,"4,997.85",+,26.26,0.53,
台灣永續價值報酬指數,"4,613.41",+,17.78,0.39,
特選臺灣IC設計報酬指數,"3,688.71",+,128.71,3.62,
特選臺灣環境永續高股息報酬指數,"5,044.45",+,14.76,0.29,
臺灣友善環境50報酬指數,"4,290.71",+,45.83,1.08,
特選台灣策略高股息30報酬指數,"4,612.24",-,10.92,-0.24,
特選臺灣IC設計產業代表報酬指數,"4,553.67",+,122.86,2.77,
特選臺灣綠能報酬指數,"5,308.99",-,72.86,-1.35,
特選臺灣成長高股息報酬指數,"4,953.71",+,46.14,0.94,
特選臺灣智慧50報酬指數,"4,265.65",+,46.19,1.09,
特選臺灣標竿PCB報酬指數,"3,784.96",+,22.67,0.60,
臺灣晶圓製造報酬指數,"4,999.82",+,92.39,1.88,
臺灣精選高息報酬指數,"4,671.61",+,20.94,0.45,
臺灣多因子優選高股息30報酬指數,"5,454.94",-,24.55,-0.45,
特選臺灣優利高填息30報酬指數,"5,225.33",-,13.94,-0.27,
臺灣多因子優選成長30報酬指數,"5,742.40",+,41.39,0.73,
報酬指數(臺灣指數公司),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
漲升股利150報酬指數,"10,943.46",-,34.36,-0.31,
藍籌30報酬指數,"9,794.36",+,141.57,1.47,
工業菁英30報酬指數,"10,565.99",+,180.37,1.74,
電子菁英30報酬指數,"10,249.37",+,82.61,0.81,
低波動股利精選30報酬指數,"8,447.83",-,27.75,-0.33,
中小型A級動能50報酬指數,"17,212.85",-,31.83,-0.18,
特選高息低波報酬指數,"9,508.60",-,28.50,-0.30,
臺灣永續報酬指數,"10,093.35",+,90.36,0.90,
價值投資報酬指數,"8,357.73",+,42.51,0.51,
存股雙十等權重報酬指數,"8,969.41",+,2.36,0.03,
特選大蘋果報酬指數,"8,238.23",+,36.21,0.44,
中小型300報酬指數,"10,391.78",-,13.78,-0.13,
特股高息20報酬指數,"6,830.54",-,13.83,-0.20,
臺灣500報酬指數,"9,380.94",+,52.01,0.56,
臺灣勞工權益報酬指數,"8,804.53",-,45.62,-0.52,
微波高息精選20報酬指數,"7,503.08",-,43.65,-0.58,
特選世代行動通訊報酬指數,"6,939.18",+,100.34,1.47,
智慧投資多因子30報酬指數,"5,806.22",+,23.79,0.41,
特選大蘋果報酬正向兩倍指數,"13,839.60",+,121.13,0.88,
特選大蘋果報酬反向一倍指數,"6,858.90",-,30.41,-0.44,
特選價值成長報酬指數,"8,212.07",-,59.47,-0.72,
臺灣上櫃永續報酬指數,"7,065.54",+,45.22,0.64,
特選台股領航報酬指數,"7,858.16",+,143.85,1.86,
特選Smart多因子報酬指數,"6,407.37",+,65.56,1.03,
特選ESG高股息報酬指數,"4,816.36",+,113.60,2.42,
特選上櫃ESG成長報酬指數,"4,744.99",+,32.41,0.69,
特選上櫃ESG電子菁英報酬指數,"4,890.59",+,37.61,0.77,
臺灣優息存股報酬指數,"5,050.66",-,58.24,-1.14,
特選上櫃ESG永續高股息報酬指數,"6,442.02",+,7.70,0.12,
特選臺灣金融高股息存股報酬指數,"5,191.47",-,32.79,-0.63,
特選臺灣產業龍頭存股等權重報酬指數,"5,649.94",-,35.00,-0.62,
上櫃ESG 30報酬指數,"5,767.71",+,32.11,0.56,
臺灣ESG低碳50報酬指數,"5,243.94",+,74.52,1.44,
112年03月01日 大盤統計資訊,,,,,
成交統計,成交金額(元),成交股數(股),成交筆數,,
1.一般股票,"245,434,906,593","3,121,672,769","1,745,595",,
2.台灣存託憑證,"9,641,833","1,983,758",751,,
3.受益憑證,0,0,0,,
4.ETF,"12,570,710,469","841,432,641","245,025",,
5.受益證券,"773,658,577","39,100,151",232,,
6.變更交易股票,"10,452,275","1,240,448","1,032",,
7.認購(售)權證,"1,939,838,350","1,666,646,000","64,672",,
8.轉換公司債,0,0,0,,
9.附認股權特別股,0,0,0,,
10.附認股權公司債,0,0,0,,
11.認股權憑證,0,0,0,,
12.公司債,0,0,0,,
13.ETN,"13,524,340","2,720,000",339,,
14.創新板股票,"4,951,125","47,025",33,,
15.創新板-變更交易方法股票,0,0,0,,
證券合計(1+6+14+15),"245,450,309,993","3,122,960,242","1,746,660",,
總計(1~15),"260,757,683,562","5,674,842,792","2,057,679",,
漲跌證券數合計,,,,,
類型,整體市場,股票,,,
上漲(漲停),"4,227(6)",372(3),,,
下跌(跌停),"4,860(73)",521(2),,,
持平,492,72,,,
未成交,"12,112",1,,,
無比價,"2,208",2,,,
備註:,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
112年03月01日 每日收盤行情(全部(不含權證、牛熊證)),,,,,
備註:,,,,,
漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。,,,,,
當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。,,,,,
除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。,,,,,
本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,
